Date,Open,High,Low,Close,Adj Close,Volume
2019-08-16,6.780000,8.240000,6.700000,7.840000,7.840000,5602900
2019-08-19,8.100000,8.450000,7.000000,7.290000,7.290000,3697600
2019-08-20,7.020000,7.050000,6.430000,6.670000,6.670000,1569200
2019-08-21,6.750000,6.990000,6.530000,6.830000,6.830000,942600
2019-08-22,6.850000,6.950000,6.460000,6.630000,6.630000,685100
2019-08-23,6.530000,6.650000,6.050000,6.240000,6.240000,633200
2019-08-26,6.270000,6.450000,6.100000,6.310000,6.310000,504600
2019-08-27,6.330000,6.330000,6.170000,6.300000,6.300000,508500
2019-08-28,6.230000,6.390000,6.170000,6.220000,6.220000,467600
2019-08-29,6.250000,6.320000,6.080000,6.200000,6.200000,378800
2019-08-30,6.210000,6.210000,5.900000,5.970000,5.970000,424000
2019-09-03,5.920000,5.940000,5.680000,5.730000,5.730000,535300
2019-09-04,5.840000,5.840000,5.510000,5.540000,5.540000,576000
2019-09-05,5.510000,5.600000,5.270000,5.300000,5.300000,764000
2019-09-06,5.310000,5.730000,5.230000,5.500000,5.500000,766100
2019-09-09,5.510000,5.630000,5.350000,5.440000,5.440000,540200
2019-09-10,5.320000,5.490000,5.260000,5.380000,5.380000,584100
2019-09-11,5.300000,5.800000,5.300000,5.740000,5.740000,931100
2019-09-12,5.770000,5.800000,5.550000,5.710000,5.710000,256600
2019-09-13,5.620000,6.470000,5.610000,6.320000,6.320000,1237700
2019-09-16,6.360000,7.700000,6.320000,7.570000,7.570000,1828000
2019-09-17,7.640000,7.650000,6.700000,6.750000,6.750000,1211500
2019-09-18,6.870000,6.900000,6.650000,6.740000,6.740000,439000
2019-09-19,6.630000,7.140000,6.630000,6.750000,6.750000,584500
2019-09-20,6.800000,6.850000,6.430000,6.550000,6.550000,533800
2019-09-23,6.560000,6.630000,6.200000,6.340000,6.340000,487700
2019-09-24,6.350000,6.470000,6.100000,6.340000,6.340000,602400
2019-09-25,6.360000,6.620000,6.200000,6.290000,6.290000,316700
